NYR | #60 R Alex Belzile 8475968
NYR | #65 L Brett Berard 8482132
NYR | #25 L Anton Blidh 8477320
NYR | #22 C Jonny Brodzinski 8477380
DAL | #37 C Oskar Back 8480840
DAL | #14 L Jamie Benn 8473994
CAR | #20 C Sebastian Aho 8478427
CAR | #53 R Jackson Blake 8482809
FLA | #74 C Rasmus Asplund 8479335
FLA | #16 C Aleksander Barkov 8477493
FLA | #9 C Sam Bennett 8477935
VAN | #88 C Nils Aman 8482496
VAN | #80 L Arshdeep Bains 8483395
VAN | #53 C Teddy Blueger 8476927
VAN | #6 R Brock Boeser 8478444
BOS | #19 C John Beecher 8481556
BOS | #55 R Justin Brazeau 8479638
BOS | #38 C Patrick Brown 8477887
BOS | #13 C Charlie Coyle 8475745
BOS | #11 C Trent Frederic 8479365
BOS | #39 C Morgan Geekie 8479987
COL | #20 C Ross Colton 8479525
COL | #27 L Jonathan Drouin 8477494
COL | #93 C Jean-Luc Foudy 8482147
TOR | #26 C Nick Abruzzese 8481720
TOR | #11 C Max Domi 8477503
TOR | #71 R Nikita Grebenkin 8483733
TOR | #29 R Pontus Holmberg 8480995
TOR | #19 C Calle Jarnkrok 8475714
TOR | #64 C David Kampf 8480144
TOR | #23 L Matthew Knies 8482720
TOR | #16 R Mitch Marner 8478483
TOR | #34 C Auston Matthews 8479318
TOR | #74 C Bobby McMann 8482259
TOR | #88 R William Nylander 8477939
TOR | #75 R Ryan Reaves 8471817
TOR | #89 L Nicholas Robertson 8481582
TOR | #46 C Alex Steeves 8482634
TOR | #91 C John Tavares 8475166
TOR | #2 D Simon Benoit 8481122
LAK | #55 R Quinton Byfield 8482124
LAK | #24 C Phillip Danault 8476479
LAK | #22 L Kevin Fiala 8477942
TBL | #41 R Mitchell Chaffee 8482070
TBL | #71 C Anthony Cirelli 8478519
TBL | #23 C Michael Eyssimont 8479591
VGK | #49 C Ivan Barbashev 8477964
VGK | #19 C Brendan Brisson 8482153
VGK | #54 L Grigori Denisenko 8480844
VGK | #16 L Pavel Dorofeyev 8481604
VGK | #9 C Jack Eichel 8478403
VGK | #48 C Tomas Hertl 8476881
NYI | #13 C Mathew Barzal 8478445
NYI | #53 C Casey Cizikas 8475231
STL | #59 C Nikita Alexandrov 8481543
STL | #89 L Pavel Buchnevich 8477402
WSH | #19 C Nicklas Backstrom 8473563
WSH | #26 C Nic Dowd 8475343
